"PID","practice","trial","run","task","stimulus_duration","iti","is_odd_ball","path","response","rt","version"
NA,0,188,1,"faces",400,300,0,"Stimuli/Experimental_stims/localizer/faces/brooke-cagle-Nm70URdtf3c-unsplash (1).jpg",NA,NA,1
NA,0,189,1,"faces",400,300,1,"Stimuli/Experimental_stims/localizer/faces/jakob-owens-lkMJcGDZLVs-unsplash.jpg",NA,NA,1
NA,0,190,1,"faces",400,300,0,"Stimuli/Experimental_stims/localizer/faces/art-hauntington-jzY0KRJopEI-unsplash.jpg",NA,NA,1
NA,0,191,1,"faces",400,300,0,"Stimuli/Experimental_stims/localizer/faces/juan-encalada-WC7KIHo13Fc-unsplash.jpg",NA,NA,1
NA,0,192,1,"faces",400,300,0,"Stimuli/Experimental_stims/localizer/faces/aatik-tasneem-7omHUGhhmZ0-unsplash.jpg",NA,NA,1
NA,0,193,1,"faces",400,300,0,"Stimuli/Experimental_stims/localizer/faces/prince-akachi-LWkFHEGpleE-unsplash.jpg",NA,NA,1
NA,0,194,1,"faces",400,300,0,"Stimuli/Experimental_stims/localizer/faces/whereslugo-zl_fPgiwduo-unsplash.jpg",NA,NA,1
NA,0,195,1,"faces",400,300,0,"Stimuli/Experimental_stims/localizer/faces/austin-wade-X6Uj51n5CE8-unsplash.jpg",NA,NA,1
NA,0,196,1,"faces",400,300,0,"Stimuli/Experimental_stims/localizer/faces/aiony-haust-K0DxxljcRv0-unsplash.jpg",NA,NA,1
NA,0,197,1,"faces",400,300,0,"Stimuli/Experimental_stims/localizer/faces/alexis-chloe-TYDkKEgc0Fg-unsplash.jpg",NA,NA,1
NA,0,198,1,"faces",400,300,0,"Stimuli/Experimental_stims/localizer/faces/linkedin-sales-solutions-pAtA8xe_iVM-unsplash.jpg",NA,NA,1
NA,0,199,1,"faces",400,300,0,"Stimuli/Experimental_stims/localizer/faces/cdc-ddKBuWekZr0-unsplash.jpg",NA,NA,1
NA,0,200,1,"faces",400,300,0,"Stimuli/Experimental_stims/localizer/faces/ben-scott-tWb7IsL9CnY-unsplash.jpg",NA,NA,1
NA,0,201,1,"faces",400,300,1,"Stimuli/Experimental_stims/localizer/faces/binh-ly-k_4A59MzZTY-unsplash.jpg",NA,NA,1
